"MOV Book of Shadows: Blair Witch 2 (2000)","(u'Beebe, Dick', None, None, u' (written by)') ","(u'Berlinger, Joe', None, None, None)" ",,"(u'Loder, Kurt (I)', u'Himself', 1, None) ",
"MOV Boomerang (1992)","(u'Blaustein, Barry W.', None, None, u' (screenplay)') ","(u'Hudlin, Reginald (I)', None, None, None)" ",,"(u'Murphy, Eddie (I)', u'Marcus', 1, None) ",
"MOV Das Boot (1981)","(u'Buchheim, Lothar G.', None, None, u' (novel)') ","(u'Petersen, Wolfgang', None, None, None)" ",,"(u'Petersen, Wolfgang', None, None, None) ",
"MOV Born on the Fourth of July (1989)","(u'Kovic, Ron', None, None, u' (book)') ","(u'Stone, Oliver (I)', None, None, None)" ",,"(u'Cruise, Tom', u'Ron Kovic', 1, None) ",
"MOV The Borrowers (1997)","(u'Kamps, John', None, None, u' (screenplay)') ","(u'Hewitt, Peter (I)', None, None, None)" ",,"(u'Goodman, John (I)', u'Ocious P. Potter', 1, None) ",
"MOV Le Bossu (1997)","" ","" ",,"" ",
"MOV Bottle Rocket (1996)","(u'Anderson, Wes (I)', None, None, u' (written by)') ","(u'Anderson, Wes (I)', None, None, None)" ",,"(u'Wilson, Luke (I)', u'Anthony Adams', 1, None) ",
"MOV Bounce (2000)","(u'Roos, Don', None, None, u' (written by)')" ","(u'Roos, Don', None, None, None)" ",,"(u'Affleck, Ben', u'Buddy Amaral', 1, None) ",
"MOV Bound (1996)","(u'Wachowski, Andy', None, None, u' (written by)') ","(u'Wachowski, Andy', None, None, u' (as The Wachowski Brothers)') ",,"(u'Tilly, Jennifer', u'Violet', 1, None) ",
"MOV Bound by Honor (1993)","(u'Baca, Jimmy Santiago', None, None, u' (screenplay)') ","(u'Hackford, Taylor', None, None, None)" ",,"(u'Chapa, Damian', u'Miklo', 1, None) ",
"MOV The Bourne Identity (2002)","(u'Gilroy, Tony (I)', None, None, u' (screenplay)') ","(u'Liman, Doug', None, None, None)" ",,"(u'Damon, Matt', u'Jason Bourne', 1, None) ",
"MOV The Bourne Supremacy (2004)","(u'Gilroy, Tony (I)', None, None, u' (screenplay)') ","(u'Greengrass, Paul', None, None, None)" ",,"(u'Damon, Matt', u'Jason Bourne', 1, None) ",
"MOV Bowfinger (1999)","(u'Martin, Steve (I)', None, None, u' (written by)')" ","(u'Oz, Frank', None, None, None)" ",,"(u'Martin, Steve (I)', u'Robert K. Bowfinger', 1, None) ",
"MOV Bowling for Columbine (2002)","(u'Moore, Michael (II)', None, None, u' (written by)')" ","(u'Moore, Michael (II)', None, None, None)" ",,"(u'Moore, Michael (II)', u'Himself - Narrator', 1, None) ",
"MOV Boys Don't Cry (1999)","(u'Bienen, Andy', None, None, u' (written by)') ","(u'Peirce, Kimberly', None, None, None)" ",,"(u'Swank, Hilary', u'Brandon Teena', 1, None) ",
"MOV Boys and Girls (2000)","(u'Lowery, Andrew (I)', None, None, u' (written by)') ","(u'Iscove, Robert', None, None, None)" ",,"(u'Barrett, Brendon Ryan', u'Young Ryan Walker', 1, None) ",
"MOV The Boys from Brazil (1978)","(u'Gould, Heywood', None, None, u' (screenplay)') ","(u'Schaffner, Franklin J.', None, None, None)" ",,"(u'Peck, Gregory', u'Dr. Josef Mengele', 1, None) ",
"MOV Boys on the Side (1995)","(u'Roos, Don', None, None, u' (written by)')" ","(u'Ross, Herbert (I)', None, None, None)" ",,"(u'Goldberg, Whoopi', u'Jane', 1, None) ",
"MOV Boyz n the Hood (1991)","(u'Singleton, John (I)', None, None, u' (written by)')" ","(u'Singleton, John (I)', None, None, None)" ",,"(u'Al-Amir, Hudhail', u'S.A.T. Man', 1, None) ",
"MOV The Brady Bunch Movie (1995)","(u'Copp, Rick', None, None, u' (written by)') ","(u'Thomas, Betty (I)', None, None, None)" ",,"(u'Long, Shelley', u'Carol Brady', 1, None) ",
"MOV The Brain That Wouldn't Die (1962)","(u'Carlton, Rex (I)', None, None, u' (original story)') ","(u'Green, Joseph (II)', None, None, None)" ",,"(u'Evers, Jason', u'Dr. Bill Cortner', 1, u' (as Herb Evers)') ",
"MOV Braindead (1992)","(u'Jackson, Peter (I)', None, None, u' (screenplay)') ","(u'Jackson, Peter (I)', None, None, None)" ",,"(u'Balme, Timothy', u'Lionel Cosgrove', 1, None) ",
"MOV Brainstorm (1983)","(u'Messina, Philip Frank', None, None, u' (screenplay)') ","(u'Trumbull, Douglas', None, None, None)" ",,"(u'Walken, Christopher', u'Michael Brace', 1, None) ",
"MOV Braveheart (1995)","(u'Wallace, Randall (I)', None, None, u' (written by)')" ","(u'Gibson, Mel (I)', None, None, None)" ",,"(u'Robinson, James (II)', u'Young William', 1, None) ",
"MOV Brazil (1985)","(u'Gilliam, Terry', None, None, u' (screenplay)') ","(u'Gilliam, Terry', None, None, None)" ",,"(u'Pryce, Jonathan', u'Sam Lowry', 1, None) ",
"MOV Breakdown (1997)","" ","" ",,"" ",
"MOV Breakfast at Tiffany's (1961)","(u'Axelrod, George', None, None, u' (screenplay)') ","(u'Edwards, Blake (I)', None, None, None)" ",,"(u'Hepburn, Audrey (I)', u'Holly Golightly', 1, None) ",
"MOV Breakfast of Champions (1999)","(u'Rudolph, Alan (I)', None, None, u' (screenplay)') ","(u'Rudolph, Alan (I)', None, None, None)" ",,"(u'Willis, Bruce', u'Dwayne Hoover', 1, None) ",
"MOV Bride & Prejudice (2004)","(u'Austen, Jane (I)', None, None, u' (novel "Pride and Prejudice")') ","(u'Chadha, Gurinder', None, None, None)" ",,"(u'Rai Bachchan, Aishwarya', u'Lalita Bakshi', 1, u' (as Aishwarya Rai)') ",
"MOV Bride of Chucky (1998)","(u'Mancini, Don (I)', None, None, u' (characters)') ","(u'Yu, Ronny', None, None, None)" ",,"(u'Tilly, Jennifer', u'Tiffany', 1, None) ",
"MOV Bride of Frankenstein (1935)","(u'Balderston, John L.', None, None, u' (adapted by)') ","(u'Whale, James (I)', None, None, None)" ",,"(u'Karloff, Boris (I)', u'The Monster', 1, u' (as Karloff)') ",
"MOV A Bridge Too Far (1977)","(u'Goldman, William (I)', None, None, u' (screenplay)') ","(u'Attenborough, Richard', None, None, None)" ",,"(u'Vroom, Siem', u'Underground Leader', 1, None) ",
"MOV The Bridge on the River Kwai (1957)","" ","" ",,"" ",
"MOV The Bridges of Madison County (1995)","(u'LaGravenese, Richard', None, None, u' (screenplay)') ","(u'Eastwood, Clint', None, None, None)" ",,"(u'Eastwood, Clint', u'Robert Kincaid', 1, None) ",
"MOV Bridget Jones's Diary (2001)","(u'Curtis, Richard (I)', None, None, u' (screenplay)') ","(u'Maguire, Sharon (I)', None, None, None)" ",,"(u'Zellweger, Rene', u'Robert Kincaid', 1, None) ",
"MOV Bridget Jones: The Edge of Reason (2004)","(u'Brooks, Adam (I)', None, None, u' (screenplay)') ","(u'Kidron, Beeban', None, None, None)" ",,"(u'Zellweger, Rene', u'Robert Kincaid', 1, None) ",
MOV-Brigadoon (1954)","(u'Lerner, Alan Jay', None, None, u' (musical)') ","(u'Minnelli, Vincente', None, None, None)" ",,"(u'Kelly, Gene (I)', u'Tommy Albright', 1, None) ",
"MOV Bring It On (2000)","(u'Bendinger, Jessica', None, None, u' (written by)')" ","(u'Reed, Peyton (I)', None, None, None)" ",,"(u'Dunst, Kirsten', u'Torrance Shipman', 1, None) ",
"MOV Bring Me the Head of Alfredo Garcia (1974)","(u'Dawson, Gordon T.', None, None, u' (screenplay)') ","(u'Peckinpah, Sam', None, None, None)" ",,"(u'Oates, Warren', u'Bennie', 1, None) ",
"MOV Bringing Down the House (2003)","(u'Filardi, Jason', None, None, u' (written by)')" ","(u'Shankman, Adam (I)', None, None, None)" ",,"(u'Martin, Steve (I)', u'Peter Sanderson', 1, None) ",
"MOV Bringing Out the Dead (1999)","(u'Connelly, Joe (II)', None, None, u' (novel)') ","(u'Scorsese, Martin', None, None, None)" ",,"(u'Cage, Nicolas', u'Frank Pierce', 1, None) ",
"MOV Broadway Danny Rose (1984)","(u'Allen, Woody', None, None, u' (written by)')" ","(u'Allen, Woody', None, None, None)" ",,"(u'Allen, Woody', u'Danny Rose', 1, None) ",
"MOV Broken Arrow (1996)","(u'Yost, Graham', None, None, u' (written by)')" ","(u'Woo, John (I)', None, None, None)" ",,"(u'Travolta, John (I)', u"Maj. Vic 'Deak' Deakins", 1, None) ",
"MOV Broken Blossoms or The Yellow Man and the Girl (1919)","(u'Burke, Thomas (III)', None, None, u' (adapted from a story by)') ","(u'Griffith, D.W. (I)', None, None, u' (under the personal direction of)')" ",,"(u'Gish, Lillian', u'Lucy - The Girl', 1, u' (as Miss Lillian Gish)') ",
"MOV The Broken Hearts Club: A Romantic Comedy (2000)","(u'Berlanti, Greg', None, None, u' (written by)')" ","(u'Berlanti, Greg', None, None, None)" ",,"(u'Weber, Ben (I)', u'Patrick', 1, None) ",
"MOV A Bronx Tale (1993)","(u'Palminteri, Chazz', None, None, u' (play)') ","(u'De Niro, Robert', None, None, None)" ",,"(u'De Niro, Robert', u'Lorenzo', 1, None) ",
"MOV Brother (2000)","" ","" ",,"" ",
"MOV The Brother from Another Planet (1984)","(u'Sayles, John (I)', None, None, None)" ","(u'Sayles, John (I)', None, None, None)" ",,"(u'Morton, Joe (I)', u'The Brother', 1, None) ",
"MOV The Brothers McMullen (1995)","(u'Burns, Edward (I)', None, None, None)" ","(u'Burns, Edward (I)', None, None, None)" ",,"(u'Albert, Shari', u'Susan', 1, None) ",
"MOV The Brown Bunny (2003)","(u'Gallo, Vincent', None, None, u' (written by)')" ","(u'Gallo, Vincent', None, None, None)" ",,"(u'Gallo, Vincent', u'Bud Clay', 1, None) ",
"MOV Brown Sugar (2002)","(u'Elliot, Michael (IV)', None, None, u' (screenplay)') ","(u'Famuyiwa, Rick', None, None, None)" ",,"(u'Diggs, Taye', u"Andre Romulus 'Dre' Ellis", 1, None) ",
"MOV Bruce Almighty (2003)","(u'Koren, Steve', None, None, u' (screenplay)') ","(u'Shadyac, Tom', None, None, None)" ",,"(u'Carrey, Jim', u'Bruce Nolan', 1, None) ",
"MOV Bubba Ho-tep (2002)","" ","" ",,"" ",
"MOV Bubble Boy (2001)","(u'Daurio, Ken', None, None, u' (written by)') ","(u'Hayes, Blair (II)', None, None, None)" ",,"(u'Gyllenhaal, Jake', u'Jimmy Livingston', 1, None) ",
"MOV Budbringeren (1997)","" ","" ",,"" ",
"MOV Buddy Buddy (1981)","(u'Diamond, I.A.L.', None, None, None) ","(u'Wilder, Billy', None, None, None)" ",,"(u'Lemmon, Jack', u'Victor Clooney', 1, None) ",
"MOV Buffalo '66 (1998)","(u'Bagnall, Alison', None, None, u' (screenplay)') ","(u'Gallo, Vincent', None, None, None)" ",,"(u'Gallo, Vincent', u'Billy Brown', 1, None) ",
"MOV Buffalo Soldiers (2001)","(u'Jordan, Gregor', None, None, u' (screenplay)') ","(u'Jordan, Gregor', None, None, None)" ",,"(u'Phoenix, Joaquin', u'Ray Elwood', 1, None) ",
"MOV A Bug's Life (1998)","(u'Boedoe, Geefwee', None, None, u' (additional writer: story)') ","(u'Lasseter, John', None, None, None) ",,"(u'Foley, Dave (I)', u'Flik', 1, u' (voice)') ",
"MOV Bugsy (1991)","(u'Jennings, Dean', None, None, u' (book "We Only Kill Each Other: The Life and Bad Times of Bugsy Siegel")') ","(u'Levinson, Barry (I)', None, None, None)" ",,"(u'Beatty, Warren (I)', u'Bugsy Siegel', 1, None) ",
"MOV Bull Durham (1988)","(u'Shelton, Ron', None, None, u' (written by)')" ","(u'Shelton, Ron', None, None, None)" ",,"(u'Costner, Kevin', u'Crash Davis', 1, None) ",
"MOV Bulletproof Monk (2003)","(u'Reiff, Ethan', None, None, u' (written by)') ","(u'Hunter, Paul (I)', None, None, None)" ",,"(u'Chow, Yun-Fat', u'Monk With No Name', 1, u' (as Chow Yun-Fat)') ",
"MOV Bullets Over Broadway (1994)","(u'Allen, Woody', None, None, u' (written by)') ","(u'Allen, Woody', None, None, None)" ",,"(u'Cusack, John (I)', u'David Shayne', 1, None) ",
"MOV Bullitt (1968)","(u'Fish, Robert L.', None, None, u' (novel "Mute Witness")') ","(u'Yates, Peter (I)', None, None, None)" ",,"(u'McQueen, Steve (I)', u'Frank Bullitt', 1, None) ",
"MOV Bulworth (1998)","(u'Beatty, Warren (I)', None, None, u' (screenplay)') ","(u'Beatty, Warren (I)', None, None, None)" ",,"(u'Adams, Kimberly Deauna', u'Denisha', 1, None) ",
"MOV Buono, il brutto, il cattivo, Il (1966)","" ","" ",,"" ",
"MOV But I'm a Cheerleader (1999)","(u'Babbit, Jamie', None, None, u' (story)') ","(u'Babbit, Jamie', None, None, None)" ",,"(u'Lyonne, Natasha', u'Megan', 1, None) ",
"MOV The Butterfly Effect (2004)","(u'Bress, Eric', None, None, u' (written by)') ","(u'Bress, Eric', None, None, None) ",,"(u'Kutcher, Ashton', u'Evan', 1, None) ",
"MOV C'era una volta il West (1968)","(u'Argento, Dario', None, None, u' (from a story by)') ","(u'Leone, Sergio (I)', None, None, None)" ",,"(u'Cardinale, Claudia (I)', u'Jill McBain', 1, None) ",
"MOV C.H.U.D. (1984)","(u'Abbott, Shepard', None, None, u' (story)') ","(u'Cheek, Douglas', None, None, None)" ",,"(u'Heard, John (I)', u'George Cooper', 2, None) ",
"MOV CQ (2001)","(u'Coppola, Roman', None, None, u' (written by)')" ","(u'Coppola, Roman', None, None, None)" ",,"(u'Davies, Jeremy (I)', u'Paul', 1, None) ",
"MOV Cabaret (1972)","(u'Isherwood, Christopher', None, None, u' (stories by)') ","(u'Fosse, Bob', None, None, None)" ",,"(u'Minnelli, Liza', u'Sally Bowles', 1, None) ",
